Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Rooarii Roo,Tahiti,MID,#7,4,0,OFC
Stanley Atani,Tahiti,MID,#8,6,0,OFC
Tamatoa Tetauira,Tahiti,MID,#9,6,0,OFC
Manarii Porlier,Tahiti,ATK,#10,10,0,OFC
Teanoui Tehau,Tahiti,ATK,#11,10,0,OFC
Simione Tamanisau,Fiji,GK,#1,0,0,OFC
Kavaia Rawaqa,Fiji,DEF,#2,1,0,OFC
Laisenia Naioko,Fiji,DEF,#3,1,0,OFC
Kishan Sami,Fiji,DEF,#4,2,0,OFC
Remueru Tekiate,Fiji,DEF,#5,2,0,OFC
Patrick Joseph,Fiji,MID,#6,4,0,OFC
Ame Votoniu,Fiji,MID,#7,4,0,OFC
Dave Radrigai,Fiji,MID,#8,6,0,OFC
Christopher Wasasala,Fiji,MID,#9,6,0,OFC
Roy Krishna,Fiji,ATK,#10,20,0,OFC
Tito Vodowaqa,Fiji,ATK,#11,10,0,OFC
Chikau Mansala,Vanuatu,GK,#1,0,0,OFC
Jason Thomas,Vanuatu,DEF,#2,1,0,OFC
Joseph Iaruel,Vanuatu,DEF,#3,1,0,OFC
Selwyn Vatu,Vanuatu,DEF,#4,2,0,OFC
Brian Kaltack,Vanuatu,DEF,#5,2,0,OFC
John Alick,Vanuatu,MID,#6,4,0,OFC
Bong Kalo,Vanuatu,MID,#7,4,0,OFC
Mitch Cooper,Vanuatu,MID,#8,6,0,OFC
Elkington Molivakrua,Vanuatu,MID,#9,6,0,OFC
Tony Kaltack,Vanuatu,ATK,#10,15,0,OFC
Kensi Tangis,Vanuatu,ATK,#11,10,0,OFC
Ronald Warisan,Papua New Guinea,GK,#1,0,0,OFC
Felix Komolong,Papua New Guinea,DEF,#2,1,0,OFC
Alwin Komolong,Papua New Guinea,DEF,#3,1,0,OFC
Koriak Upaiga,Papua New Guinea,DEF,#4,2,0,OFC
Daniel Joe,Papua New Guinea,DEF,#5,2,0,OFC
Jacob Sabua,Papua New Guinea,MID,#6,4,0,OFC
Patrick Aisa,Papua New Guinea,MID,#7,4,0,OFC
Emmanuel Simon,Papua New Guinea,MID,#8,6,0,OFC
Michael Foster,Papua New Guinea,MID,#9,6,0,OFC
Raymond Gunemba,Papua New Guinea,ATK,#10,10,0,OFC
Nigel Dabinyaba,Papua New Guinea,ATK,#11,10,0,OFC
Nicky Salapu,American Samoa,GK,#1,0,0,OFC
Jayiah Saelua,American Samoa,DEF,#2,1,0,OFC
Uasila'a Heleta,American Samoa,DEF,#3,1,0,OFC
Ryan Samueli,American Samoa,DEF,#4,2,0,OFC
Ueli Tualaulelei,American Samoa,DEF,#5,2,0,OFC
Kuresa Taga'i,American Samoa,MID,#6,4,0,OFC
Austin Kaleopa,American Samoa,MID,#7,4,0,OFC
Milo Tatia,American Samoa,MID,#8,6,0,OFC
Chris Faamoana,American Samoa,MID,#9,6,0,OFC
Walter Pati,American Samoa,ATK,#10,10,0,OFC
MJ Faoa-Danielson,American Samoa,ATK,#11,10,0,OFC
Faalavelave Matagi,Samoa,GK,#1,0,0,OFC
Andrew Setefano,Samoa,DEF,#2,1,0,OFC
Lawrie Letutusa,Samoa,DEF,#3,1,0,OFC
Faitalia Hamilton-Pama,Samoa,DEF,#4,2,0,OFC
Sean Atherton,Samoa,DEF,#5,2,0,OFC
Mike Saofaiga,Samoa,MID,#6,4,0,OFC
Keone Kapisi,Samoa,MID,#7,4,0,OFC
Willie Sauiluma,Samoa,MID,#8,6,0,OFC
George Konusi,Samoa,MID,#9,6,0,OFC
Andrew Mobberley,Samoa,ATK,#10,10,0,OFC
Vito Laloata,Samoa,ATK,#11,10,0,OFC
Mahe Malafu,Tonga,GK,#1,0,0,OFC
Siuloa Fahina,Tonga,DEF,#2,1,0,OFC
Semisi Otukolo,Tonga,DEF,#3,1,0,OFC
Timote Fakasi'I'eiki,Tonga,DEF,#4,2,0,OFC
Sione Uhatahi,Tonga,DEF,#5,2,0,OFC
Kamaliele Papani,Tonga,MID,#6,4,0,OFC
Vai Lutu,Tonga,MID,#7,4,0,OFC
Petueli Tokotaha,Tonga,MID,#8,6,0,OFC
Tuia Falepapalangi,Tonga,MID,#9,6,0,OFC
Hemaloto Polovili,Tonga,ATK,#10,10,0,OFC
Lafaele Moala,Tonga,ATK,#11,10,0,OFC
Tahiri Elikana,Cook Islands,GK,#1,0,0,OFC
Tyrell Baringer-Tahiri,Cook Islands,DEF,#2,1,0,OFC
Nathan Tisam,Cook Islands,DEF,#3,1,0,OFC
Paavo Mustonen,Cook Islands,DEF,#4,2,0,OFC
Joseph Mitimariki,Cook Islands,DEF,#5,2,0,OFC
Gichin Fuhiniu,Cook Islands,MID,#6,4,0,OFC
Grover Harmon,Cook Islands,MID,#7,4,0,OFC
Taylor Saghbai,Cook Islands,MID,#8,6,0,OFC
Jake Stuart,Cook Islands,MID,#9,6,0,OFC
Campbell Best,Cook Islands,ATK,#10,10,0,OFC
Harlem Simiona,Cook Islands,ATK,#11,10,0,OFC
