Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Remo Freuler,Switzerland,MID,#7,4,0,UEFA
Xherdan Shaqiri,Switzerland,MID,#8,8,0,UEFA
Admir Mehmedi,Switzerland,MID,#9,6,0,UEFA
Breel Embolo,Switzerland,ATK,#10,10,0,UEFA
Haris Seferovic,Switzerland,ATK,#11,10,0,UEFA
David De Gea,Spain,GK,#1,0,0,UEFA
Inigo Martinez,Spain,DEF,#2,1,0,UEFA
Sergio Ramos,Spain,DEF,#3,5,0,UEFA
Dani Carvajal,Spain,DEF,#4,2,0,UEFA
Jose Luis Gaya,Spain,DEF,#5,2,0,UEFA
Rodri,Spain,MID,#6,3,0,UEFA
Koke,Spain,MID,#7,3,0,UEFA
Dani Olmo,Spain,MID,#8,8,0,UEFA
Mika Oyarzabal,Spain,ATK,#9,8,0,UEFA
Ansu Fati,Spain,ATK,#10,8,0,UEFA
Alvaro Morata,Spain,ATK,#11,10,0,UEFA
Kasper Schmeichel,Denmark,GK,#1,0,0,UEFA
Andreas Christensen,Denmark,DEF,#2,1,0,UEFA
Simon Kjaer,Denmark,DEF,#3,1,0,UEFA
Joakim Maehle,Denmark,DEF,#4,2,0,UEFA
Rasmus Kristensen,Denmark,DEF,#5,2,0,UEFA
Thomas Delaney,Denmark,MID,#6,4,0,UEFA
Pierre-Emile Hojbjerg,Denmark,MID,#7,4,0,UEFA
Christian Eriksen,Denmark,MID,#8,8,0,UEFA
Pione Sisto,Denmark,ATK,#9,7,0,UEFA
Martin Braithwaite,Denmark,ATK,#10,10,0,UEFA
Yussuf Poulsen,Denmark,ATK,#11,10,0,UEFA
Manuel Neuer,Germany,GK,#1,0,0,UEFA
Lukas Klostermann,Germany,DEF,#2,1,0,UEFA
Nico Schultz,Germany,DEF,#3,2,0,UEFA
Antonio Rudiger,Germany,DEF,#4,1,0,UEFA
Niklas Sule,Germany,DEF,#5,1,0,UEFA
Joshua Kimmich,Germany,MID,#6,4,0,UEFA
Leon Goretzka,Germany,MID,#7,4,0,UEFA
Ilkay Gundogan,Germany,MID,#8,7,0,UEFA
Leroy Sane,Germany,ATK,#9,10,0,UEFA
Serge Gnabry,Germany,ATK,#10,10,0,UEFA
Timo Werner,Germany,ATK,#11,10,0,UEFA
Robin Olsen,Sweden,GK,#1,0,0,UEFA
Victor Lindelof,Sweden,DEF,#2,2,0,UEFA
Pontus Jansson,Sweden,DEF,#3,1,0,UEFA
Ludwig Augustinsson,Sweden,DEF,#4,2,0,UEFA
Mikael Lustig,Sweden,DEF,#5,3,0,UEFA
Viktor Claesson,Sweden,MID,#6,4,0,UEFA
Sebastian Larsson,Sweden,MID,#7,4,0,UEFA
Emil Forsberg,Sweden,MID,#8,6,0,UEFA
Dejan Kulusevski,Sweden,MID,#9,8,0,UEFA
Alexander Isak,Sweden,ATK,#10,10,0,UEFA
Zlatan Ibrahimovic,Sweden,ATK,#11,15,0,UEFA
Jasper Cillessen,Netherlands,GK,#1,0,0,UEFA
Stefan De Vrij,Netherlands,DEF,#2,1,0,UEFA
Virgil Van Dijk,Netherlands,DEF,#3,3,0,UEFA
Daley Blind,Netherlands,DEF,#4,2,0,UEFA
Mathias de Ligt,Netherlands,DEF,#5,2,0,UEFA
Kevin Strootman,Netherlands,MID,#6,4,0,UEFA
Marten De Roon,Netherlands,MID,#7,4,0,UEFA
Georginio Wijnaldum,Netherlands,MID,#8,6,0,UEFA
Steven Bergwijn,Netherlands,MID,#9,6,0,UEFA
Luuk De Jong,Netherlands,ATK,#10,7,0,UEFA
Memphis Depay,Netherlands,ATK,#11,10,0,UEFA
Gianluigi Donnaruma,Italy,GK,#1,0,0,UEFA
Dominic Criscito,Italy,DEF,#2,2,0,UEFA
Leonardo Bonucci,Italy,DEF,#3,2,0,UEFA
Giorgio Chiellini,Italy,DEF,#4,1,0,UEFA
Alessandro Florenzi,Italy,DEF,#5,2,0,UEFA
Jorginho,Italy,MID,#6,4,0,UEFA
Marco Veratti,Italy,MID,#7,4,0,UEFA
Nicolo Zaniolo,Italy,MID,#8,7,0,UEFA
Sebastian Giovinco,Italy,ATK,#9,10,0,UEFA
Stephan El Shaarrawy,Italy,ATK,#10,10,0,UEFA
Andrea Belotti,Italy,ATK,#11,12,0,UEFA
Wayne Hennessey,Wales,GK,#1,0,0,UEFA
Joe Rodon,Wales,DEF,#2,1,0,UEFA
Ethan Ampadu,Wales,DEF,#3,1,0,UEFA
Connor Roberts,Wales,DEF,#4,2,0,UEFA
Ben Davies,Wales,DEF,#5,2,0,UEFA
Joe Morrell,Wales,MID,#6,4,0,UEFA
David Brooks,Wales,MID,#7,6,0,UEFA
Daniel James,Wales,MID,#8,6,0,UEFA
Aaron Ramsay,Wales,MID,#9,8,0,UEFA
Hal Robson-Kanu,Wales,ATK,#10,8,0,UEFA
Gareth Bale,Wales,ATK,#11,20,0,UEFA
Lukas Fabianski,Poland,GK,#1,0,0,UEFA
Jan Bednarek,Poland,DEF,#2,1,0,UEFA
Robert Gummy,Poland,DEF,#3,1,0,UEFA
Kamil Glik,Poland,DEF,#4,2,0,UEFA
Maciej Rybus,Poland,DEF,#5,2,0,UEFA
Grzegorz Krychowiak,Poland,MID,#6,4,0,UEFA
Mateusz Klich,Poland,MID,#7,4,0,UEFA
Pior Zielinski,Poland,MID,#8,6,0,UEFA
Kamil Grosicki,Poland,MID,#9,6,0,UEFA
Krzystof Piatek,Poland,ATK,#10,10,0,UEFA
Robert Lewandowski,Poland,ATK,#11,25,0,UEFA
Ciprian Tatarusanu,Romania,GK,#1,0,0,UEFA
Alin Tosca,Romania,DEF,#2,1,0,UEFA
Vlad Chiriches,Romania,DEF,#3,1,0,UEFA
Ionut Nedelcearu,Romania,DEF,#4,2,0,UEFA
Cristian Manea,Romania,DEF,#5,2,0,UEFA
Razvan Marin,Romania,MID,#6,4,0,UEFA
Ciprian Deac,Romania,MID,#7,4,0,UEFA
Ianis Hagi,Romania,MID,#8,6,0,UEFA
Alexandru Maxim,Romania,MID,#9,6,0,UEFA
George Puscas,Romania,ATK,#10,10,0,UEFA
Cladiu Keseru,Romania,ATK,#11,10,0,UEFA
Andrey Lunin,Ukraine,GK,#1,0,0,UEFA
Mykola Matviyenko,Ukraine,DEF,#2,1,0,UEFA
Serhiy Krvstov,Ukraine,DEF,#3,1,0,UEFA
Oleksandr Karavayev,Ukraine,DEF,#4,2,0,UEFA
Vitaly Mykolenko,Ukraine,DEF,#5,2,0,UEFA
Taras Stepanenko,Ukraine,MID,#6,4,0,UEFA
Oleksandr Zinchenko,Ukraine,MID,#7,4,0,UEFA
Marlos,Ukraine,MID,#8,6,0,UEFA
Andriy Yarmolenko,Ukraine,MID,#9,10,0,UEFA
Eugene Konoplyanka,Ukraine,MID,#10,8,0,UEFA
Roman Yaremchuk,Ukraine,ATK,#11,10,0,UEFA
Predard Rajkovic,Serbia,GK,#1,0,0,UEFA
Niklola Maksimovic,Serbia,DEF,#2,1,0,UEFA
Nikola Milenkovic,Serbia,DEF,#3,1,0,UEFA
Aleksandar Kolvarov,Serbia,DEF,#4,4,0,UEFA
Milos Veljkovic,Serbia,DEF,#5,2,0,UEFA
Sergej Milinkovic-Savic,Serbia,MID,#6,4,0,UEFA
Nemanja Gudelj,Serbia,MID,#7,4,0,UEFA
Filip Kostic,Serbia,MID,#8,6,0,UEFA
Dusan Tadic,Serbia,MID,#9,6,0,UEFA
Aleksandar Mitrovic,Serbia,ATK,#10,10,0,UEFA
Luka Jovic,Serbia,ATK,#11,10,0,UEFA
Darren Randolph,Republic of Ireland,GK,#1,0,0,UEFA
Seamus Coleman,Republic of Ireland,DEF,#2,1,0,UEFA
Shane Duffy,Republic of Ireland,DEF,#3,1,0,UEFA
Matt Doherty,Republic of Ireland,DEF,#4,2,0,UEFA
Ciaran Clark,Republic of Ireland,DEF,#5,2,0,UEFA
Jeff Hendrick,Republic of Ireland,MID,#6,4,0,UEFA
James McCartghy,Republic of Ireland,MID,#7,4,0,UEFA
Robbie Brady,Republic of Ireland,MID,#8,6,0,UEFA
James McClean,Republic of Ireland,MID,#9,6,0,UEFA
Shane Long,Republic of Ireland,ATK,#10,10,0,UEFA
Callum Robinson,Republic of Ireland,ATK,#11,10,0,UEFA
Dusan Kuciak,Slovakia,GK,#1,0,0,UEFA
Martin Skrtel,Slovakia,DEF,#2,1,0,UEFA
Milan Skriniar,Slovakia,DEF,#3,1,0,UEFA
Peter Pekarik,Slovakia,DEF,#4,2,0,UEFA
Denis Vavro,Slovakia,DEF,#5,2,0,UEFA
Vladimir Weiss,Slovakia,MID,#6,4,0,UEFA
Juraj Kucka,Slovakia,MID,#7,4,0,UEFA
Marek Hamsik,Slovakia,MID,#8,6,0,UEFA
Robert Mak,Slovakia,MID,#9,6,0,UEFA
Robert Bozenik,Slovakia,ATK,#10,10,0,UEFA
Michal Duris,Slovakia,ATK,#11,10,0,UEFA
Michael McGovern,Northern Ireland,GK,#1,0,0,UEFA
Stuart Dallas,Northern Ireland,DEF,#2,4,0,UEFA
Craig Cathcart,Northern Ireland,DEF,#3,1,0,UEFA
Jonny Evans,Northern Ireland,DEF,#4,2,0,UEFA
Shane Ferguson,Northern Ireland,DEF,#5,2,0,UEFA
Steven Davis,Northern Ireland,MID,#6,4,0,UEFA
Niall McGinn,Northern Ireland,MID,#7,4,0,UEFA
Corry Evans,Northern Ireland,MID,#8,6,0,UEFA
Maddy McNair,Northern Ireland,MID,#9,6,0,UEFA
Liam Boyce,Northern Ireland,ATK,#10,10,0,UEFA
Kyle Lafferty,Northern Ireland,ATK,#11,10,0,UEFA
Heinz Lindner,Austria,GK,#1,0,0,UEFA
Aleksander Dragovic,Austria,DEF,#2,1,0,UEFA
Martin Hinteregger,Austria,DEF,#3,1,0,UEFA
David Alaba,Austria,DEF,#4,5,0,UEFA
Stefan Laimer,Austria,DEF,#5,2,0,UEFA
Julian Baumgartlinger,Austria,MID,#6,4,0,UEFA
Stefan Ilsanker,Austria,MID,#7,4,0,UEFA
Konrad Laimer,Austria,MID,#8,6,0,UEFA
Valentinto Lazaro,Austria,MID,#9,6,0,UEFA
Marko Arnautovic,Austria,ATK,#10,10,0,UEFA
Marcel Sabitzer,Austria,ATK,#11,8,0,UEFA
Asmir Begovic,Bosnia and Herzegovina,GK,#1,0,0,UEFA
Sead Kolasinac,Bosnia and Herzegovina,DEF,#2,1,0,UEFA
Ermin Bicakcic,Bosnia and Herzegovina,DEF,#3,1,0,UEFA
Eldar Sivic,Bosnia and Herzegovina,DEF,#4,2,0,UEFA
Toni Sunjic,Bosnia and Herzegovina,DEF,#5,2,0,UEFA
Muhamed Besic,Bosnia and Herzegovina,MID,#6,4,0,UEFA
Haris Duljevic,Bosnia and Herzegovina,MID,#7,4,0,UEFA
Izet Hajrovic,Bosnia and Herzegovina,MID,#8,6,0,UEFA
Armin Hodzic,Bosnia and Herzegovina,ATK,#9,8,0,UEFA
Milan Duric,Bosnia and Herzegovina,ATK,#10,8,0,UEFA
Edin Dzeko,Bosnia and Herzegovina,ATK,#11,20,0,UEFA
Mert Gunok,Turkey,GK,#1,0,0,UEFA
Caner Erkin,Turkey,DEF,#2,1,0,UEFA
Merih Demiral,Turkey,DEF,#3,1,0,UEFA
Kaan Ayhan,Turkey,DEF,#4,2,0,UEFA
Omer Bayram,Turkey,DEF,#5,2,0,UEFA
Okay Yokuslu,Turkey,MID,#6,4,0,UEFA
Yusuf Yazici,Turkey,MID,#7,4,0,UEFA
Hakan Calhanoglu,Turkey,MID,#8,8,0,UEFA
Cengiz Under,Turkey,MID,#9,8,0,UEFA
Burka Yilmaz,Turkey,ATK,#10,10,0,UEFA
Cenk Tosun,Turkey,ATK,#11,10,0,UEFA
Hannes Por Halldorsson,Iceland,GK,#1,0,0,UEFA
Ari Freyr Skulason,Iceland,DEF,#2,1,0,UEFA
Ragnar Sigurdsson,Iceland,DEF,#3,1,0,UEFA
Birkirt Mar Saevarsson,Iceland,DEF,#4,2,0,UEFA
Kari Arnason,Iceland,DEF,#5,2,0,UEFA
Runar Mar Sigurjonsson,Iceland,MID,#6,4,0,UEFA
Aron Gunnarsson,Iceland,MID,#7,4,0,UEFA
Johann Berg Gudmundsson,Iceland,MID,#8,6,0,UEFA
Gyfli Sigurdsson,Iceland,MID,#9,10,0,UEFA
Alfred Finnbogason,Iceland,ATK,#10,10,0,UEFA
Kolbeinne Sigporsson,Iceland,ATK,#11,10,0,UEFA
Odysseas Vlachodimos,Greece,GK,#1,0,0,UEFA
Dimitris Giannoulis,Greece,DEF,#2,1,0,UEFA
Dimitris Siovas,Greece,DEF,#3,1,0,UEFA
Kostas Manolas,Greece,DEF,#4,2,0,UEFA
Giorgos Tzavellas,Greece,DEF,#5,2,0,UEFA
Petros Mantolas,Greece,MID,#6,4,0,UEFA
Dimitris Kourbelis,Greece,MID,#7,4,0,UEFA
Zeca,Greece,MID,#8,6,0,UEFA
Kostas Fortounis,Greece,MID,#9,6,0,UEFA
Tasos Bakasetas,Greece,ATK,#10,10,0,UEFA
Dimitris Limnios,Greece,ATK,#11,10,0,UEFA
Craig Gordon,Scotland,GK,#1,0,0,UEFA
Scott McKenna,Scotland,DEF,#2,1,0,UEFA
Grant Hanley,Scotland,DEF,#3,1,0,UEFA
Kieran Tierney,Scotland,DEF,#4,2,0,UEFA
Andrew Robertson,Scotland,DEF,#5,2,0,UEFA
Callum McGregor,Scotland,MID,#6,4,0,UEFA
Scott McTominay,Scotland,MID,#7,4,0,UEFA
John McGinn,Scotland,MID,#8,6,0,UEFA
Stuart Armstrong,Scotland,MID,#9,6,0,UEFA
Leigh Griffiths,Scotland,ATK,#10,10,0,UEFA
Callum Paterson,Scotland,ATK,#11,10,0,UEFA
Guilherme,Russia,GK,#1,0,0,UEFA
Fyodor Kudryashov,Russia,DEF,#2,1,0,UEFA
Georgi Dzhikiya,Russia,DEF,#3,1,0,UEFA
Mario Fernandes,Russia,DEF,#4,2,0,UEFA
Yuri Zhirkov,Russia,DEF,#5,2,0,UEFA
Roman Zobnin,Russia,MID,#6,4,0,UEFA
Aleksandr Yerokin,Russia,MID,#7,4,0,UEFA
Anton Miranchuk,Russia,MID,#8,6,0,UEFA
Denis Cheryshev,Russia,MID,#9,6,0,UEFA
Artem Dzyuba,Russia,ATK,#10,10,0,UEFA
Fyodor Smolov,Russia,ATK,#11,10,0,UEFA
Tomas Vaclik,Czechia,GK,#1,0,0,UEFA
Tomas Kalas,Czechia,DEF,#2,1,0,UEFA
Filip Novak,Czechia,DEF,#3,1,0,UEFA
Jakub Brabec,Czechia,DEF,#4,2,0,UEFA
Roman Hubnik,Czechia,DEF,#5,2,0,UEFA
Jan Kopic,Czechia,MID,#6,4,0,UEFA
Jakub Jankto,Czechia,MID,#7,4,0,UEFA
Vladimir Darida,Czechia,MID,#8,6,0,UEFA
Tomas Soucek,Czechia,MID,#9,6,0,UEFA
Michael Krmencik,Czechia,ATK,#10,10,0,UEFA
Matej Vydra,Czechia,ATK,#11,10,0,UEFA
Rune Jarstein,Norway,GK,#1,0,0,UEFA
Kristoffer Ajer,Norway,DEF,#2,1,0,UEFA
Omar Elabdellaoui,Norway,DEF,#3,1,0,UEFA
Martin Linnes,Norway,DEF,#4,2,0,UEFA
Birger Meling,Norway,DEF,#5,2,0,UEFA
Markus Henriksen,Norway,MID,#6,4,0,UEFA
Mats Moller Daehli,Norway,MID,#7,4,0,UEFA
Stefan Johansen,Norway,MID,#8,6,0,UEFA
Mohamed Elyounoussi,Norway,MID,#9,6,0,UEFA
Joshua King,Norway,ATK,#10,10,0,UEFA
Erling Haaland,Norway,ATK,#11,20,0,UEFA
Nikolay Vihalov,Bulgaria,GK,#1,0,0,UEFA
Georgi Terziev,Bulgaria,DEF,#2,1,0,UEFA
Anton Nedyalkov,Bulgaria,DEF,#3,1,0,UEFA
Peter Zanev,Bulgaria,DEF,#4,2,0,UEFA
Vasil Bozhikov,Bulgaria,DEF,#5,2,0,UEFA
Georgi Milanov,Bulgaria,MID,#6,4,0,UEFA
Kristiyan Malinov,Bulgaria,MID,#7,4,0,UEFA
Georgi Kostadinov,Bulgaria,MID,#8,6,0,UEFA
Aleksander Tonev,Bulgaria,MID,#9,6,0,UEFA
Kiril Despodov,Bulgaria,ATK,#10,10,0,UEFA
Spas Delelv,Bulgaria,ATK,#11,10,0,UEFA
Peter Gulasci,Hungary,GK,#1,0,0,UEFA
Attila Fiola,Hungary,DEF,#2,1,0,UEFA
Gergo Lovrencsics,Hungary,DEF,#3,1,0,UEFA
Willi Orban,Hungary,DEF,#4,2,0,UEFA
Adam Lang,Hungary,DEF,#5,2,0,UEFA
Adam Nagy,Hungary,MID,#6,4,0,UEFA
Mate Patkai,Hungary,MID,#7,4,0,UEFA
Dominik Szoboszlai,Hungary,MID,#8,12,0,UEFA
Roland Sallai,Hungary,MID,#9,6,0,UEFA
Adam Szalai,Hungary,ATK,#10,10,0,UEFA
Nemanja Nikolic,Hungary,ATK,#11,10,0,UEFA
Daniel Petkovic,Montengro,GK,#1,0,0,UEFA
Adam Marusic,Montengro,DEF,#2,1,0,UEFA
Marko Simic,Montengro,DEF,#3,1,0,UEFA
Zarko Tomasevic,Montengro,DEF,#4,2,0,UEFA
Stefan Savic,Montengro,DEF,#5,2,0,UEFA
Nikola Vukcevic,Montengro,MID,#6,4,0,UEFA
Vladimir Jovovic,Montengro,MID,#7,4,0,UEFA
Aleksander Boljevic,Montengro,MID,#8,6,0,UEFA
Fatos Beciraj,Montengro,ATK,#9,10,0,UEFA
Stefan Musoga,Montengro,ATK,#10,10,0,UEFA
Stevan Jovetic,Montengro,ATK,#11,20,0,UEFA
Lukas Hradecky,Finland,GK,#1,0,0,UEFA
Jukka Raitala,Finland,DEF,#2,1,0,UEFA
Jere Uronen,Finland,DEF,#3,1,0,UEFA
Paulus Arajuuri,Finland,DEF,#4,2,0,UEFA
Joona Toivio,Finland,DEF,#5,2,0,UEFA
Rasmus Schuller,Finland,MID,#6,4,0,UEFA
Pyry Soiri,Finland,MID,#7,4,0,UEFA
Robin Lod,Finland,MID,#8,6,0,UEFA
Fredrik Jensen,Finland,MID,#9,6,0,UEFA
Joel Pohjanpalo,Finland,ATK,#10,10,0,UEFA
Teemu Pukki,Finland,ATK,#11,15,0,UEFA
Etrit Berisha,Albania,GK,#1,0,0,UEFA
Freddie Veseli,Albania,DEF,#2,1,0,UEFA
Berat Gijmshiti,Albania,DEF,#3,1,0,UEFA
Elseid Hysaj,Albania,DEF,#4,2,0,UEFA
Ardian Ismajli,Albania,DEF,#5,2,0,UEFA
Ledian Memushaj,Albania,MID,#6,4,0,UEFA
Amir Abrashi,Albania,MID,#7,4,0,UEFA
Ermir Lenjani,Albania,MID,#8,6,0,UEFA
Odise Roshi,Albania,MID,#9,6,0,UEFA
Armando Sadiku,Albania,ATK,#10,10,0,UEFA
Sokol Cikalleshi,Albania,ATK,#11,10,0,UEFA
Jan Oblak,Slovenia,GK,#1,0,0,UEFA
Miha Mevlja,Slovenia,DEF,#2,1,0,UEFA
Petar Stojanovic,Slovenia,DEF,#3,1,0,UEFA
Nejc Skubic,Slovenia,DEF,#4,2,0,UEFA
Jure Balkovec,Slovenia,DEF,#5,2,0,UEFA
Jasmin Kurtic,Slovenia,MID,#6,4,0,UEFA
Benjamin Verbic,Slovenia,MID,#7,4,0,UEFA
Rajko Rep,Slovenia,MID,#8,6,0,UEFA
Josip Ilicic,Slovenia,MID,#9,12,0,UEFA
Tim Matavz,Slovenia,ATK,#10,10,0,UEFA
Andraz Sporar,Slovenia,ATK,#11,10,0,UEFA
Stole Dimitrievski,North Macedonia,GK,#1,0,0,UEFA
Stefan Ristovski,North Macedonia,DEF,#2,1,0,UEFA
Visar Musliu,North Macedonia,DEF,#3,1,0,UEFA
Kire Ristevski,North Macedonia,DEF,#4,2,0,UEFA
Gjoko Zajkov,North Macedonia,DEF,#5,2,0,UEFA
Stefan Spirovski,North Macedonia,MID,#6,4,0,UEFA
Boban Nikolov,North Macedonia,MID,#7,4,0,UEFA
Enis Bardhi,North Macedonia,MID,#8,6,0,UEFA
Ezgjan Alioski,North Macedonia,MID,#9,6,0,UEFA
Aleksandar Trajkovski,North Macedonia,ATK,#10,10,0,UEFA
Goran Pandev,North Macedonia,ATK,#11,10,0,UEFA
Alyaksandr Hutar,Belarus,GK,#1,0,0,UEFA
Alyaksandr Martynovich,Belarus,DEF,#2,1,0,UEFA
Syarhey Palitsevich,Belarus,DEF,#3,1,0,UEFA
Maksim Bardachow,Belarus,DEF,#4,2,0,UEFA
Ivan Mayewski,Belarus,DEF,#5,2,0,UEFA
Syarhey Kislyak,Belarus,MID,#6,4,0,UEFA
Pavel Nyakhaychuk,Belarus,MID,#7,4,0,UEFA
Stanislaw Drahun,Belarus,MID,#8,6,0,UEFA
Ihar Stasevhich,Belarus,MID,#9,6,0,UEFA
Mikhail Gordeichuk,Belarus,ATK,#10,10,0,UEFA
Anton Saroka,Belarus,ATK,#11,10,0,UEFA
Ofir Marciano,Israel,GK,#1,0,0,UEFA
Eitan Tibi,Israel,DEF,#2,1,0,UEFA
Eli Dasa,Israel,DEF,#3,1,0,UEFA
Sheran Yeini,Israel,DEF,#4,2,0,UEFA
Taleb Tawatha ,Israel,DEF,#5,2,0,UEFA
Eyal Golasa,Israel,MID,#6,4,0,UEFA
Dor Peretz,Israel,MID,#7,4,0,UEFA
Nir Bitton,Israel,MID,#8,6,0,UEFA
Bibras Natkho,Israel,MID,#9,6,0,UEFA
Mu'nas Dabbur,Israel,ATK,#10,10,0,UEFA
Eran Zahavi,Israel,ATK,#11,10,0,UEFA
Anthony Moris,Luxembourg,GK,#1,0,0,UEFA
Dirk Carlson,Luxembourg,DEF,#2,1,0,UEFA
Chris Philipps,Luxembourg,DEF,#3,1,0,UEFA
Enes Mahmutovic,Luxembourg,DEF,#4,2,0,UEFA
Lars Krogh Gerson,Luxembourg,DEF,#5,2,0,UEFA
Christopher Martins,Luxembourg,DEF,#6,4,0,UEFA
Daniel Sinani,Luxembourg,MID,#7,4,0,UEFA
Vincent Thill,Luxembourg,MID,#8,6,0,UEFA
Stefano Bensi,Luxembourg,ATK,#9,10,0,UEFA
Maurice Deville,Luxembourg,ATK,#10,10,0,UEFA
Daniel da Mota,Luxembourg,ATK,#11,20,0,UEFA
Anastasios Kissas,Cyprus,GK,#1,0,0,UEFA
Konstantinos Laifis,Cyprus,DEF,#2,1,0,UEFA
Nicholas Ioannou,Cyprus,DEF,#3,1,0,UEFA
Charis Shelis,Cyprus,DEF,#4,2,0,UEFA
Andreas Makris,Cyprus,DEF,#5,2,0,UEFA
Grigoris Kastanos,Cyprus,MID,#6,4,0,UEFA
Kostakis Artymatas,Cyprus,MID,#7,4,0,UEFA
Andreas Avraam,Cyprus,MID,#8,6,0,UEFA
Demetris Christofi,Cyprus,ATK,#9,10,0,UEFA
Pieros Sotiriou,Cyprus,ATK,#10,10,0,UEFA
Panagiotis Zachariou,Cyprus,ATK,#11,10,0,UEFA
Giorgi Loria,Georgia,GK,#1,0,0,UEFA
Otar Kakabadze,Georgia,DEF,#2,1,0,UEFA
Davit Khocholava,Georgia,DEF,#3,1,0,UEFA
Guram Kashia,Georgia,DEF,#4,2,0,UEFA
Giorgi Navalovski,Georgia,DEF,#5,2,0,UEFA
Murtaz Daushvili,Georgia,MID,#6,4,0,UEFA
Jaba Kankava,Georgia,MID,#7,4,0,UEFA
Valeri Qazaishvili,Georgia,MID,#8,6,0,UEFA
Giorgi Chakvtadze,Georgia,MID,#9,6,0,UEFA
Nika Kacharava,Georgia,ATK,#10,10,0,UEFA
Tornike Okriashvili,Georgia,ATK,#11,10,0,UEFA
Artur Kotenko,Estonia,GK,#1,0,0,UEFA
Taijo Teniste,Estonia,DEF,#2,1,0,UEFA
Karol Mets,Estonia,DEF,#3,1,0,UEFA
Joonas Tamm,Estonia,DEF,#4,2,0,UEFA
Artur Pikk,Estonia,DEF,#5,2,0,UEFA
Ilja Antonov,Estonia,MID,#6,4,0,UEFA
Siim Luts,Estonia,MID,#7,4,0,UEFA
Mattias Kait,Estonia,MID,#8,6,0,UEFA
Kostantin Vassiljev,Estonia,MID,#9,6,0,UEFA
Henri Anier,Estonia,ATK,#10,10,0,UEFA
