Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Remo Freuler,Switzerland,MID,#7,4,0,UEFA
Xherdan Shaqiri,Switzerland,MID,#8,8,0,UEFA
Admir Mehmedi,Switzerland,MID,#9,6,0,UEFA
Breel Embolo,Switzerland,ATK,#10,10,0,UEFA
Haris Seferovic,Switzerland,ATK,#11,10,0,UEFA
David De Gea,Spain,GK,#1,0,0,UEFA
Inigo Martinez,Spain,DEF,#2,1,0,UEFA
Sergio Ramos,Spain,DEF,#3,5,0,UEFA
Dani Carvajal,Spain,DEF,#4,2,0,UEFA
Jose Luis Gaya,Spain,DEF,#5,2,0,UEFA
Rodri,Spain,MID,#6,3,0,UEFA
Koke,Spain,MID,#7,3,0,UEFA
Dani Olmo,Spain,MID,#8,8,0,UEFA
Mika Oyarzabal,Spain,ATK,#9,8,0,UEFA
Ansu Fati,Spain,ATK,#10,8,0,UEFA
Alvaro Morata,Spain,ATK,#11,10,0,UEFA
Kasper Schmeichel,Denmark,GK,#1,0,0,UEFA
Andreas Christensen,Denmark,DEF,#2,1,0,UEFA
Simon Kjaer,Denmark,DEF,#3,1,0,UEFA
Joakim Maehle,Denmark,DEF,#4,2,0,UEFA
Rasmus Kristensen,Denmark,DEF,#5,2,0,UEFA
Thomas Delaney,Denmark,MID,#6,4,0,UEFA
Pierre-Emile Hojbjerg,Denmark,MID,#7,4,0,UEFA
Christian Eriksen,Denmark,MID,#8,8,0,UEFA
Pione Sisto,Denmark,ATK,#9,7,0,UEFA
Martin Braithwaite,Denmark,ATK,#10,10,0,UEFA
Yussuf Poulsen,Denmark,ATK,#11,10,0,UEFA
Manuel Neuer,Germany,GK,#1,0,0,UEFA
Lukas Klostermann,Germany,DEF,#2,1,0,UEFA
Nico Schultz,Germany,DEF,#3,2,0,UEFA
Antonio Rudiger,Germany,DEF,#4,1,0,UEFA
Niklas Sule,Germany,DEF,#5,1,0,UEFA
Joshua Kimmich,Germany,MID,#6,4,0,UEFA
Leon Goretzka,Germany,MID,#7,4,0,UEFA
Ilkay Gundogan,Germany,MID,#8,7,0,UEFA
Leroy Sane,Germany,ATK,#9,10,0,UEFA
Serge Gnabry,Germany,ATK,#10,10,0,UEFA
Timo Werner,Germany,ATK,#11,10,0,UEFA
Robin Olsen,Sweden,GK,#1,0,0,UEFA
Victor Lindelof,Sweden,DEF,#2,2,0,UEFA
Pontus Jansson,Sweden,DEF,#3,1,0,UEFA
Ludwig Augustinsson,Sweden,DEF,#4,2,0,UEFA
Mikael Lustig,Sweden,DEF,#5,3,0,UEFA
Viktor Claesson,Sweden,MID,#6,4,0,UEFA
Sebastian Larsson,Sweden,MID,#7,4,0,UEFA
Emil Forsberg,Sweden,MID,#8,6,0,UEFA
Dejan Kulusevski,Sweden,MID,#9,8,0,UEFA
Alexander Isak,Sweden,ATK,#10,10,0,UEFA
Zlatan Ibrahimovic,Sweden,ATK,#11,15,0,UEFA
Jasper Cillessen,Netherlands,GK,#1,0,0,UEFA
Stefan De Vrij,Netherlands,DEF,#2,1,0,UEFA
Virgil Van Dijk,Netherlands,DEF,#3,3,0,UEFA
Daley Blind,Netherlands,DEF,#4,2,0,UEFA
Mathias de Ligt,Netherlands,DEF,#5,2,0,UEFA
Kevin Strootman,Netherlands,MID,#6,4,0,UEFA
Marten De Roon,Netherlands,MID,#7,4,0,UEFA
Georginio Wijnaldum,Netherlands,MID,#8,6,0,UEFA
Steven Bergwijn,Netherlands,MID,#9,6,0,UEFA
Luuk De Jong,Netherlands,ATK,#10,7,0,UEFA
Memphis Depay,Netherlands,ATK,#11,10,0,UEFA
Gianluigi Donnaruma,Italy,GK,#1,0,0,UEFA
Dominic Criscito,Italy,DEF,#2,2,0,UEFA
Leonardo Bonucci,Italy,DEF,#3,2,0,UEFA
Giorgio Chiellini,Italy,DEF,#4,1,0,UEFA
Alessandro Florenzi,Italy,DEF,#5,2,0,UEFA
Jorginho,Italy,MID,#6,4,0,UEFA
Marco Veratti,Italy,MID,#7,4,0,UEFA
Nicolo Zaniolo,Italy,MID,#8,7,0,UEFA
Sebastian Giovinco,Italy,ATK,#9,10,0,UEFA
Stephan El Shaarrawy,Italy,ATK,#10,10,0,UEFA
Andrea Belotti,Italy,ATK,#11,12,0,UEFA
Wayne Hennessey,Wales,GK,#1,0,0,UEFA
Joe Rodon,Wales,DEF,#2,1,0,UEFA
Ethan Ampadu,Wales,DEF,#3,1,0,UEFA
Connor Roberts,Wales,DEF,#4,2,0,UEFA
Ben Davies,Wales,DEF,#5,2,0,UEFA
Joe Morrell,Wales,MID,#6,4,0,UEFA
David Brooks,Wales,MID,#7,6,0,UEFA
Daniel James,Wales,MID,#8,6,0,UEFA
Aaron Ramsay,Wales,MID,#9,8,0,UEFA
Hal Robson-Kanu,Wales,ATK,#10,8,0,UEFA
Gareth Bale,Wales,ATK,#11,20,0,UEFA
Lukas Fabianski,Poland,GK,#1,0,0,UEFA
Jan Bednarek,Poland,DEF,#2,1,0,UEFA
Robert Gummy,Poland,DEF,#3,1,0,UEFA
Kamil Glik,Poland,DEF,#4,2,0,UEFA
Maciej Rybus,Poland,DEF,#5,2,0,UEFA
Grzegorz Krychowiak,Poland,MID,#6,4,0,UEFA
Mateusz Klich,Poland,MID,#7,4,0,UEFA
Pior Zielinski,Poland,MID,#8,6,0,UEFA
Kamil Grosicki,Poland,MID,#9,6,0,UEFA
Krzystof Piatek,Poland,ATK,#10,10,0,UEFA
Robert Lewandowski,Poland,ATK,#11,25,0,UEFA
Ciprian Tatarusanu,Romania,GK,#1,0,0,UEFA
Alin Tosca,Romania,DEF,#2,1,0,UEFA
Vlad Chiriches,Romania,DEF,#3,1,0,UEFA
Ionut Nedelcearu,Romania,DEF,#4,2,0,UEFA
Cristian Manea,Romania,DEF,#5,2,0,UEFA
Razvan Marin,Romania,MID,#6,4,0,UEFA
Ciprian Deac,Romania,MID,#7,4,0,UEFA
Ianis Hagi,Romania,MID,#8,6,0,UEFA
Alexandru Maxim,Romania,MID,#9,6,0,UEFA
George Puscas,Romania,ATK,#10,10,0,UEFA
Cladiu Keseru,Romania,ATK,#11,10,0,UEFA
,Ukraine,GK,#1,0,0,UEFA
,Ukraine,DEF,#2,1,0,UEFA
,Ukraine,DEF,#3,1,0,UEFA
,Ukraine,DEF,#4,2,0,UEFA
,Ukraine,DEF,#5,2,0,UEFA
,Ukraine,MID,#6,4,0,UEFA
,Ukraine,MID,#7,4,0,UEFA
,Ukraine,MID,#8,6,0,UEFA
,Ukraine,MID,#9,6,0,UEFA
,Ukraine,ATK,#10,10,0,UEFA
,Ukraine,ATK,#11,10,0,UEFA
,Serbia,GK,#1,0,0,UEFA
,Serbia,DEF,#2,1,0,UEFA
,Serbia,DEF,#3,1,0,UEFA
,Serbia,DEF,#4,2,0,UEFA
,Serbia,DEF,#5,2,0,UEFA
,Serbia,MID,#6,4,0,UEFA
,Serbia,MID,#7,4,0,UEFA
,Serbia,MID,#8,6,0,UEFA
,Serbia,MID,#9,6,0,UEFA
,Serbia,ATK,#10,10,0,UEFA
,Serbia,ATK,#11,10,0,UEFA
,Republic of Ireland,GK,#1,0,0,UEFA
,Republic of Ireland,DEF,#2,1,0,UEFA
,Republic of Ireland,DEF,#3,1,0,UEFA
,Republic of Ireland,DEF,#4,2,0,UEFA
,Republic of Ireland,DEF,#5,2,0,UEFA
,Republic of Ireland,MID,#6,4,0,UEFA
,Republic of Ireland,MID,#7,4,0,UEFA
,Republic of Ireland,MID,#8,6,0,UEFA
,Republic of Ireland,MID,#9,6,0,UEFA
,Republic of Ireland,ATK,#10,10,0,UEFA
,Republic of Ireland,ATK,#11,10,0,UEFA
,Slovakia,GK,#1,0,0,UEFA
,Slovakia,DEF,#2,1,0,UEFA
,Slovakia,DEF,#3,1,0,UEFA
,Slovakia,DEF,#4,2,0,UEFA
,Slovakia,DEF,#5,2,0,UEFA
,Slovakia,MID,#6,4,0,UEFA
,Slovakia,MID,#7,4,0,UEFA
,Slovakia,MID,#8,6,0,UEFA
,Slovakia,MID,#9,6,0,UEFA
,Slovakia,ATK,#10,10,0,UEFA
,Slovakia,ATK,#11,10,0,UEFA
,Northern Ireland,GK,#1,0,0,UEFA
,Northern Ireland,DEF,#2,1,0,UEFA
,Northern Ireland,DEF,#3,1,0,UEFA
,Northern Ireland,DEF,#4,2,0,UEFA
,Northern Ireland,DEF,#5,2,0,UEFA
,Northern Ireland,MID,#6,4,0,UEFA
,Northern Ireland,MID,#7,4,0,UEFA
,Northern Ireland,MID,#8,6,0,UEFA
,Northern Ireland,MID,#9,6,0,UEFA
,Northern Ireland,ATK,#10,10,0,UEFA
,Northern Ireland,ATK,#11,10,0,UEFA
,Austria,GK,#1,0,0,UEFA
,Austria,DEF,#2,1,0,UEFA
,Austria,DEF,#3,1,0,UEFA
,Austria,DEF,#4,2,0,UEFA
,Austria,DEF,#5,2,0,UEFA
,Austria,MID,#6,4,0,UEFA
,Austria,MID,#7,4,0,UEFA
,Austria,MID,#8,6,0,UEFA
,Austria,MID,#9,6,0,UEFA
,Austria,ATK,#10,10,0,UEFA
,Austria,ATK,#11,10,0,UEFA
,Bosnia and Herzegovina,GK,#1,0,0,UEFA
,Bosnia and Herzegovina,DEF,#2,1,0,UEFA
,Bosnia and Herzegovina,DEF,#3,1,0,UEFA
,Bosnia and Herzegovina,DEF,#4,2,0,UEFA
,Bosnia and Herzegovina,DEF,#5,2,0,UEFA
,Bosnia and Herzegovina,MID,#6,4,0,UEFA
,Bosnia and Herzegovina,MID,#7,4,0,UEFA
,Bosnia and Herzegovina,MID,#8,6,0,UEFA
,Bosnia and Herzegovina,MID,#9,6,0,UEFA
,Bosnia and Herzegovina,ATK,#10,10,0,UEFA
,Bosnia and Herzegovina,ATK,#11,10,0,UEFA
,Turkey,GK,#1,0,0,UEFA
,Turkey,DEF,#2,1,0,UEFA
,Turkey,DEF,#3,1,0,UEFA
,Turkey,DEF,#4,2,0,UEFA
,Turkey,DEF,#5,2,0,UEFA
,Turkey,MID,#6,4,0,UEFA
,Turkey,MID,#7,4,0,UEFA
,Turkey,MID,#8,6,0,UEFA
,Turkey,MID,#9,6,0,UEFA
,Turkey,ATK,#10,10,0,UEFA
,Turkey,ATK,#11,10,0,UEFA
,Iceland,GK,#1,0,0,UEFA
,Iceland,DEF,#2,1,0,UEFA
,Iceland,DEF,#3,1,0,UEFA
,Iceland,DEF,#4,2,0,UEFA
,Iceland,DEF,#5,2,0,UEFA
,Iceland,MID,#6,4,0,UEFA
,Iceland,MID,#7,4,0,UEFA
,Iceland,MID,#8,6,0,UEFA
,Iceland,MID,#9,6,0,UEFA
,Iceland,ATK,#10,10,0,UEFA
,Iceland,ATK,#11,10,0,UEFA
,Greece,GK,#1,0,0,UEFA
,Greece,DEF,#2,1,0,UEFA
,Greece,DEF,#3,1,0,UEFA
,Greece,DEF,#4,2,0,UEFA
,Greece,DEF,#5,2,0,UEFA
,Greece,MID,#6,4,0,UEFA
,Greece,MID,#7,4,0,UEFA
,Greece,MID,#8,6,0,UEFA
,Greece,MID,#9,6,0,UEFA
,Greece,ATK,#10,10,0,UEFA
,Greece,ATK,#11,10,0,UEFA
,Scotland,GK,#1,0,0,UEFA
,Scotland,DEF,#2,1,0,UEFA
,Scotland,DEF,#3,1,0,UEFA
,Scotland,DEF,#4,2,0,UEFA
,Scotland,DEF,#5,2,0,UEFA
,Scotland,MID,#6,4,0,UEFA
,Scotland,MID,#7,4,0,UEFA
,Scotland,MID,#8,6,0,UEFA
,Scotland,MID,#9,6,0,UEFA
,Scotland,ATK,#10,10,0,UEFA
,Scotland,ATK,#11,10,0,UEFA
,Russia,GK,#1,0,0,UEFA
,Russia,DEF,#2,1,0,UEFA
,Russia,DEF,#3,1,0,UEFA
,Russia,DEF,#4,2,0,UEFA
,Russia,DEF,#5,2,0,UEFA
,Russia,MID,#6,4,0,UEFA
,Russia,MID,#7,4,0,UEFA
,Russia,MID,#8,6,0,UEFA
,Russia,MID,#9,6,0,UEFA
,Russia,ATK,#10,10,0,UEFA
,Russia,ATK,#11,10,0,UEFA
,Czechia,GK,#1,0,0,UEFA
,Czechia,DEF,#2,1,0,UEFA
,Czechia,DEF,#3,1,0,UEFA
,Czechia,DEF,#4,2,0,UEFA
,Czechia,DEF,#5,2,0,UEFA
,Czechia,MID,#6,4,0,UEFA
,Czechia,MID,#7,4,0,UEFA
,Czechia,MID,#8,6,0,UEFA
,Czechia,MID,#9,6,0,UEFA
,Czechia,ATK,#10,10,0,UEFA
,Czechia,ATK,#11,10,0,UEFA
,Norway,GK,#1,0,0,UEFA
,Norway,DEF,#2,1,0,UEFA
,Norway,DEF,#3,1,0,UEFA
,Norway,DEF,#4,2,0,UEFA
,Norway,DEF,#5,2,0,UEFA
,Norway,MID,#6,4,0,UEFA
,Norway,MID,#7,4,0,UEFA
,Norway,MID,#8,6,0,UEFA
,Norway,MID,#9,6,0,UEFA
,Norway,ATK,#10,10,0,UEFA
,Norway,ATK,#11,10,0,UEFA
,Bulgaria,GK,#1,0,0,UEFA
,Bulgaria,DEF,#2,1,0,UEFA
,Bulgaria,DEF,#3,1,0,UEFA
,Bulgaria,DEF,#4,2,0,UEFA
,Bulgaria,DEF,#5,2,0,UEFA
,Bulgaria,MID,#6,4,0,UEFA
,Bulgaria,MID,#7,4,0,UEFA
,Bulgaria,MID,#8,6,0,UEFA
,Bulgaria,MID,#9,6,0,UEFA
,Bulgaria,ATK,#10,10,0,UEFA
,Bulgaria,ATK,#11,10,0,UEFA
,Hungary,GK,#1,0,0,UEFA
,Hungary,DEF,#2,1,0,UEFA
,Hungary,DEF,#3,1,0,UEFA
,Hungary,DEF,#4,2,0,UEFA
,Hungary,DEF,#5,2,0,UEFA
,Hungary,MID,#6,4,0,UEFA
,Hungary,MID,#7,4,0,UEFA
,Hungary,MID,#8,6,0,UEFA
,Hungary,MID,#9,6,0,UEFA
,Hungary,ATK,#10,10,0,UEFA
,Hungary,ATK,#11,10,0,UEFA
,Montengro,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Finland,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Albania,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Slovenia,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,North Macedonia,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Belarus,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Israel,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Luxembourg,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Cyprus,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Georgia,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Estonia,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Faroe Islands,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Armenia,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Azerbaijan,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Kazakhstan,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Kosovo,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Lithuania,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Latvia,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Andorra,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Moldova,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Malta,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Liechtenstein,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,Gibraltar,GK,#1,0,0,UEFA
,,DEF,#2,1,0,UEFA
,,DEF,#3,1,0,UEFA
,,DEF,#4,2,0,UEFA
,,DEF,#5,2,0,UEFA
,,MID,#6,4,0,UEFA
,,MID,#7,4,0,UEFA
,,MID,#8,6,0,UEFA
,,MID,#9,6,0,UEFA
,,ATK,#10,10,0,UEFA
,,ATK,#11,10,0,UEFA
,San Marino,GK,#1,0,0,UEFA
,San Marino,DEF,#2,1,0,UEFA
,San Marino,DEF,#3,1,0,UEFA
,San Marino,DEF,#4,2,0,UEFA
,San Marino,DEF,#5,2,0,UEFA
,San Marino,MID,#6,4,0,UEFA
,San Marino,MID,#7,4,0,UEFA
,San Marino,MID,#8,6,0,UEFA
,San Marino,MID,#9,6,0,UEFA
,San Marino,ATK,#10,10,0,UEFA
,San Marino,ATK,#11,10,0,UEFA
