Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Gerard Lavergne,Dominican Republic,MID,#6,4,0,CONCACAF
Wilman Modesta,Dominican Republic,MID,#7,4,0,CONCACAF
Carlos Heredia,Dominican Republic,MID,#8,6,0,CONCACAF
Ronaldo Vasquez,Dominican Republic,MID,#9,6,0,CONCACAF
Domingo Peralta,Dominican Republic,ATK,#10,10,0,CONCACAF
Mariano,Dominican Republic,ATK,#11,10,0,CONCACAF
Jason Belfon,Grenada,GK,#1,0,0,CONCACAF
Aaron Pierre,Grenada,DEF,#2,1,0,CONCACAF
Irvine Smith,Grenada,DEF,#3,1,0,CONCACAF
A.J. Paterson,Grenada,DEF,#4,5,0,CONCACAF
Kimron Marshall,Grenada,DEF,#5,2,0,CONCACAF
Kwazim Theodore,Grenada,MID,#6,4,0,CONCACAF
Steffon Abraham,Grenada,MID,#7,4,0,CONCACAF
Shavon John-Brown,Grenada,MID,#8,6,0,CONCACAF
Leon Braveboy,Grenada,MID,#9,4,0,CONCACAF
Jamal Charles,Grenada,ATK,#10,10,0,CONCACAF
Saydrel Lewis,Grenada,ATK,#11,10,0,CONCACAF
Kishmar Primus,Barbados,GK,#1,0,0,CONCACAF
Ricardo Morris,Barbados,DEF,#2,1,0,CONCACAF
Rashad Smith,Barbados,DEF,#3,1,0,CONCACAF
Zico Phillips,Barbados,DEF,#4,2,0,CONCACAF
Carl Hinkson,Barbados,DEF,#5,2,0,CONCACAF
Mario Williams,Barbados,MID,#6,4,0,CONCACAF
Rashad Jules,Barbados,MID,#7,4,0,CONCACAF
Hadan Holligan,Barbados,MID,#8,6,0,CONCACAF
Hallam Hope,Barbados,ATK,#9,10,0,CONCACAF
Jonathan Forte,Barbados,ATK,#10,10,0,CONCACAF
Armando Lashley,Barbados,ATK,#11,10,0,CONCACAF
Akel Clarke,Guyana,GK,#1,0,0,CONCACAF
Sam Cox,Guyana,DEF,#2,1,0,CONCACAF
Liam Gordon,Guyana,DEF,#3,1,0,CONCACAF
Kevin Layne,Guyana,DEF,#4,2,0,CONCACAF
Matthew Briggs,Guyana,DEF,#5,2,0,CONCACAF
Daniel Wilson,Guyana,MID,#6,4,0,CONCACAF
Clive Nobrega,Guyana,MID,#7,6,0,CONCACAF
Neil Danns,Guyana,MID,#8,10,0,CONCACAF
Pernell Schultz,Guyana,MID,#9,6,0,CONCACAF
Sheldon Holder,Guyana,ATK,#10,10,0,CONCACAF
Keanu Marsh-Brown,Guyana,ATK,#11,10,0,CONCACAF
Dwayne Sandy,St. Vincent and the Grenadines,GK,#1,0,0,CONCACAF
Reginald Richardson,St. Vincent and the Grenadines,DEF,#2,1,0,CONCACAF
Kevin Francis,St. Vincent and the Grenadines,DEF,#3,1,0,CONCACAF
Jahvin Sutherland,St. Vincent and the Grenadines,DEF,#4,2,0,CONCACAF
Akeem Williams,St. Vincent and the Grenadines,DEF,#5,2,0,CONCACAF
Dorren Hamlet,St. Vincent and the Grenadines,MID,#6,4,0,CONCACAF
Diel Spring,St. Vincent and the Grenadines,MID,#7,4,0,CONCACAF
Nazir McBurnette,St. Vincent and the Grenadines,MID,#8,6,0,CONCACAF
Azinho Solomon,St. Vincent and the Grenadines,MID,#9,6,0,CONCACAF
Cornelius Stewart,St. Vincent and the Grenadines,ATK,#10,10,0,CONCACAF
Oalex Anderson,St. Vincent and the Grenadines,ATK,#11,10,0,CONCACAF
Dale Eve,Bermuda,GK,#1,0,0,CONCACAF
Jaylon Bather,Bermuda,DEF,#2,1,0,CONCACAF
Donte Brangman,Bermuda,DEF,#3,1,0,CONCACAF
Dante Leverock,Bermuda,DEF,#4,2,0,CONCACAF
Calon Minors,Bermuda,DEF,#5,2,0,CONCACAF
Osagi Bascome,Bermuda,MID,#6,4,0,CONCACAF
Willie Clemons,Bermuda,MID,#7,4,0,CONCACAF
Reggie Lambe,Bermuda,MID,#8,6,0,CONCACAF
Zeiko Lewis,Bermuda,MID,#9,6,0,CONCACAF
Tre' Ming,Bermuda,MID,#10,4,0,CONCACAF
Nakhi Wells,Bermuda,ATK,#11,15,0,CONCACAF
Woodrow West,Belize,GK,#1,0,0,CONCACAF
Evral Trapp,Belize,DEF,#2,1,0,CONCACAF
Tyrone Pandy,Belize,DEF,#3,1,0,CONCACAF
Elroy Smith,Belize,DEF,#4,2,0,CONCACAF
Ian Gaynair,Belize,DEF,#5,2,0,CONCACAF
Andres Makin,Belize,MID,#6,4,0,CONCACAF
Daniel Jimenez,Belize,MID,#7,4,0,CONCACAF
Krisean Lopez,Belize,MID,#8,6,0,CONCACAF
Ean Lewis,Belize,MID,#9,6,0,CONCACAF
Deon McCaulay,Belize,ATK,#10,15,0,CONCACAF
Michael Salazar,Belize,ATK,#11,10,0,CONCACAF
Vino Barclett,St. Lucia,GK,#1,0,0,CONCACAF
Melvin Doxilly,St. Lucia,DEF,#2,1,0,CONCACAF
Otev Lawrence,St. Lucia,DEF,#3,1,0,CONCACAF
Eden Charles,St. Lucia,DEF,#4,4,0,CONCACAF
Kurt Frederick,St. Lucia,DEF,#5,4,0,CONCACAF
Gregson President,St. Lucia,MID,#6,4,0,CONCACAF
Zaine Pierre,St. Lucia,MID,#7,4,0,CONCACAF
Malik St. Prix,St. Lucia,MID,#8,6,0,CONCACAF
Pernal Williams,St. Lucia,MID,#9,6,0,CONCACAF
Aaron Richards,St. Lucia,ATK,#10,10,0,CONCACAF
Jevick MacFarlane,St. Lucia,ATK,#11,10,0,CONCACAF
Cody Laurendi,Puerto Rico,GK,#1,0,0,CONCACAF
Callum Stretch,Puerto Rico,DEF,#2,1,0,CONCACAF
Giovanni Padron,Puerto Rico,DEF,#3,1,0,CONCACAF
Giovanni Calderon,Puerto Rico,DEF,#4,2,0,CONCACAF
Rodolfo Sulia,Puerto Rico,DEF,#5,2,0,CONCACAF
Brandon Servania,Puerto Rico,MID,#6,4,0,CONCACAF
Darren Rios,Puerto Rico,MID,#7,4,0,CONCACAF
Juan O'Neill,Puerto Rico,MID,#8,6,0,CONCACAF
Devin Vega,Puerto Rico,MID,#9,6,0,CONCACAF
Sidney Rivera,Puerto Rico,ATK,#10,10,0,CONCACAF
Alec Diaz,Puerto Rico,ATK,#11,10,0,CONCACAF
Sandy Sanchez,Cuba,GK,#1,1,0,CONCACAF
Yosel Piedra,Cuba,DEF,#2,1,0,CONCACAF
Erick Rizo,Cuba,DEF,#3,1,0,CONCACAF
Yasmany Lopez,Cuba,DEF,#4,2,0,CONCACAF
Leonis Martinez,Cuba,DEF,#5,2,0,CONCACAF
Daniel Luis Saez,Cuba,MID,#6,4,0,CONCACAF
Aricheel Hernandez,Cuba,MID,#7,4,0,CONCACAF
Andy Baquero,Cuba,MID,#8,6,0,CONCACAF
Yordan Santa Cruz,Cuba,MID,#9,6,0,CONCACAF
Maikel Reyes,Cuba,ATK,#10,10,0,CONCACAF
Luis Paradela,Cuba,ATK,#11,10,0,CONCACAF
Corrin Brooks-Meade,Montserrat,GK,#1,0,0,CONCACAF
Michael Wiliams,Montserrat,DEF,#2,1,0,CONCACAF
Craig Braham-Barrett,Montserrat,DEF,#3,1,0,CONCACAF
Nathan Pond,Montserrat,DEF,#4,2,0,CONCACAF
Joey Taylor,Montserrat,DEF,#5,2,0,CONCACAF
Dean Mason,Montserrat,MID,#6,4,0,CONCACAF
Brandon Comley,Montserrat,MID,#7,4,0,CONCACAF
James Comley,Montserrat,MID,#8,6,0,CONCACAF
Solomon Henry,Montserrat,MID,#9,6,0,CONCACAF
Bradley Woods-Garness,Montserrat,ATK,#10,10,0,CONCACAF
Spencer Weir-Daley,Montserrat,ATK,#11,10,0,CONCACAF
Glenson Prince,Dominica,GK,#1,0,0,CONCACAF
Euclid Bertrand,Dominica,DEF,#2,1,0,CONCACAF
Kassim Peltier,Dominica,DEF,#3,1,0,CONCACAF
Malcolm Joseph,Dominica,DEF,#4,2,0,CONCACAF
Erksim Williams,Dominica,DEF,#5,2,0,CONCACAF
Sidney Lockhart,Dominica,MID,#6,4,0,CONCACAF
Briel Thomas,Dominica,MID,#7,4,0,CONCACAF
Travist Joseph,Dominica,MID,#8,6,0,CONCACAF
Chad Betrand,Dominica,MID,#9,6,0,CONCACAF
Julian Wade,Dominica,ATK,#10,15,0,CONCACAF
Javid George,Dominica,ATK,#11,10,0,CONCACAF
Albertini Holness,Cayman Islands,GK,#1,0,0,CONCACAF
Karl Solomon,Cayman Islands,DEF,#2,1,0,CONCACAF
Joshewa Frederick-Charlery,Cayman Islands,DEF,#3,1,0,CONCACAF
Benjamin Cupid,Cayman Islands,DEF,#4,2,0,CONCACAF
Ackeem Hyde,Cayman Islands,DEF,#5,2,0,CONCACAF
Matthew Suberan,Cayman Islands,MID,#6,4,0,CONCACAF
Jermaine Wilson,Cayman Islands,MID,#7,4,0,CONCACAF
Michael Martin,Cayman Islands,MID,#8,6,0,CONCACAF
Jonah Ebanks,Cayman Islands,MID,#9,6,0,CONCACAF
Mark Ebanks,Cayman Islands,ATK,#10,15,0,CONCACAF
Theron Woods,Cayman Islands,ATK,#11,10,0,CONCACAF
Dwayne Whylly,Bahamas,GK,#1,0,0,CONCACAF
Troy Pinder,Bahamas,DEF,#2,1,0,CONCACAF
Ambry Moss,Bahamas,DEF,#3,1,0,CONCACAF
Evelt Julmis,Bahamas,DEF,#4,2,0,CONCACAF
Evens Julmis,Bahamas,DEF,#5,2,0,CONCACAF
Isiah Collie,Bahamas,MID,#6,4,0,CONCACAF
Jean Francois,Bahamas,MID,#7,4,0,CONCACAF
Happy Hall,Bahamas,MID,#8,6,0,CONCACAF
Cameron Hepple,Bahamas,MID,#9,6,0,CONCACAF
Lesly St. Fluer,Bahamas,ATK,#10,10,0,CONCACAF
Terry Delancy,Bahamas,ATK,#11,10,0,CONCACAF
Eric Abdul,Aruba,GK,#1,0,0,CONCACAF
Nickenson Paul,Aruba,DEF,#2,1,0,CONCACAF
Marlon Pereira,Aruba,DEF,#3,1,0,CONCACAF
Noah Harms,Aruba,DEF,#4,2,0,CONCACAF
Mark Jacobs,Aruba,DEF,#5,2,0,CONCACAF
Erik Santos de Gouveia,Aruba,MID,#6,4,0,CONCACAF
Gregor Breinburg,Aruba,MID,#7,4,0,CONCACAF
Annaur Kock,Aruba,MID,#8,6,0,CONCACAF
Glenbert Croes,Aruba,MID,#9,6,0,CONCACAF
Joshua John,Aruba,ATK,#10,10,0,CONCACAF
Josh Gross,Aruba,ATK,#11,10,0,CONCACAF
Pendieno Brooks,Turks and Caicos Islands,GK,#1,0,0,CONCACAF
Wildens Delva,Turks and Caicos Islands,DEF,#2,1,0,CONCACAF
Ledson Jerome,Turks and Caicos Islands,DEF,#3,1,0,CONCACAF
Jepthe Francois,Turks and Caicos Islands,DEF,#4,2,0,CONCACAF
Wildin Calixte,Turks and Caicos Islands,DEF,#5,2,0,CONCACAF
Jeff Beljour,Turks and Caicos Islands,MID,#6,4,0,CONCACAF
Jose Elcius,Turks and Caicos Islands,MID,#7,4,0,CONCACAF
Marco Fenelus,Turks and Caicos Islands,MID,#8,6,0,CONCACAF
Stevens Derilien,Turks and Caicos Islands,MID,#9,6,0,CONCACAF
Lenford Singh,Turks and Caicos Islands,ATK,#10,10,0,CONCACAF
Fred Dorvil,Turks and Caicos Islands,ATK,#11,10,0,CONCACAF
Erik Mozzo,US Virgin Islands,GK,#1,0,0,CONCACAF
Kassall Greene,US Virgin Islands,DEF,#2,1,0,CONCACAF
Dusty Good,US Virgin Islands,DEF,#3,1,0,CONCACAF
Raejae Joseph,US Virgin Islands,DEF,#4,2,0,CONCACAF
Carlos Labrada,US Virgin Islands,DEF,#5,2,0,CONCACAF
Tnoy Andrew,US Virgin Islands,MID,#6,4,0,CONCACAF
MacDonald Taylor Jr,US Virgin Islands,MID,#7,4,0,CONCACAF
Jett Blaschka,US Virgin Islands,MID,#8,6,0,CONCACAF
Avier Christian,US Virgin Islands,MID,#9,6,0,CONCACAF
J.C. Mack,US Virgin Islands,ATK,#10,10,0,CONCACAF
Aaron Dennis,US Virgin Islands,ATK,#11,10,0,CONCACAF
Phillip Jules,British Virgin Islands,GK,#1,0,0,CONCACAF
Joshua Bertie,British Virgin Islands,DEF,#2,1,0,CONCACAF
Liam Blok,British Virgin Islands,DEF,#3,1,0,CONCACAF
Ikyjah Williams,British Virgin Islands,DEF,#4,2,0,CONCACAF
Jerry Wiltshire,British Virgin Islands,DEF,#5,2,0,CONCACAF
Carlos Septus,British Virgin Islands,MID,#6,4,0,CONCACAF
Kristian Javier,British Virgin Islands,MID,#7,4,0,CONCACAF
Jamie Wilson,British Virgin Islands,MID,#8,6,0,CONCACAF
T'Sharne Gallimore,British Virgin Islands,MID,#9,6,0,CONCACAF
Tyler Forbes,British Virgin Islands,ATK,#10,10,0,CONCACAF
Kevin Fisher,British Virgin Islands,ATK,#11,10,0,CONCACAF
Ryan Liddie,Anguilla,GK,#1,0,0,CONCACAF
Germain Hughes,Anguilla,DEF,#2,1,0,CONCACAF
Leo Richardson,Anguilla,DEF,#3,1,0,CONCACAF
Luke Paris,Anguilla,DEF,#4,2,0,CONCACAF
Kion Lee,Anguilla,DEF,#5,2,0,CONCACAF
Carlique Gumbs,Anguilla,MID,#6,4,0,CONCACAF
Jermal Richardson,Anguilla,MID,#7,4,0,CONCACAF
Calvin Morgan,Anguilla,MID,#8,6,0,CONCACAF
Ruvin Richardson,Anguilla,MID,#9,6,0,CONCACAF
Glenville Rogers,Anguilla,ATK,#10,10,0,CONCACAF
Kyle Lake-Bryan,Anguilla,ATK,#11,10,0,CONCACAF
