Name,Country,Position,ShirtNumber,Attack,Goals,Confederation
Ahmed Mubrarak Al-Mahaijri,Oman,MID,#8,6,0,AFC
Raed Ibrahim Saleh,Oman,MID,#9,6,0,AFC
Abdulaziz Al-Muqbali,Oman,ATK,#10,10,0,AFC
Khalid Al-Hajri,Oman,ATK,#11,10,0,AFC
Eldorbek Suyunov,Uzbekistan,GK,#1,0,0,AFC
Islom Tukhtakhujaev,Uzbekistan,DEF,#2,1,0,AFC
Oleg Zoteev,Uzbekistan,DEF,#3,1,0,AFC
Murod Kholmukhademov,Uzbekistan,DEF,#4,2,0,AFC
Rustam Ashurmatov,Uzbekistan,DEF,#5,2,0,AFC
Ikromjon Alibaev,Uzbekistan,MID,#6,4,0,AFC
Egor Krimets,Uzbekistan,MID,#7,4,0,AFC
Otabek Shukurov,Uzbekistan,MID,#8,6,0,AFC
Sanjar Kodirkulov,Uzbekistan,MID,#9,6,0,AFC
Igot Sergeev,Uzbekistan,ATK,#10,10,0,AFC
Eldor Shomurodov,Uzbekistan,ATK,#11,10,0,AFC
Medhi Khalil,Lebanon,GK,#1,0,0,AFC
Mohamed Zein Tahan,Lebanon,DEF,#2,1,0,AFC
Mootaz Jounaidi,Lebanon,DEF,#3,1,0,AFC
Joan Oumari,Lebanon,DEF,#4,2,0,AFC
Nour Mansour,Lebanon,DEF,#5,2,0,AFC
Adnan Haidar,Lebanon,MID,#6,4,0,AFC
Nadar Matar,Lebanon,MID,#7,4,0,AFC
"Hassan ""Moni"" Chaito",Lebanon,MID,#8,6,0,AFC
Moahamed Haidar,Lebanon,MID,#9,6,0,AFC
Rabih Ataya,Lebanon,ATK,#10,10,0,AFC
Hilal El-Helwe,Lebanon,ATK,#11,10,0,AFC
Tran Nguyen Manh,Vietnam,GK,#1,0,0,AFC
Bui Tien Dung,Vietnam,DEF,#2,1,0,AFC
Doan Van Hau,Vietnam,DEF,#3,1,0,AFC
Do Duy Manh,Vietnam,DEF,#4,2,0,AFC
Que Ngoc Hai,Vietnam,DEF,#5,2,0,AFC
Nguyen Huy Heng,Vietnam,MID,#6,4,0,AFC
Luong Xuan Truong,Vietnam,MID,#7,4,0,AFC
Nguyen Quang Hai,Vietnam,MID,#8,6,0,AFC
Nguyen Trong Hoang,Vietnam,MID,#9,6,0,AFC
Nguyen Anh Duc,Vietnam,ATK,#10,10,0,AFC
Nguyen Van Quyet,Vietnam,ATK,#11,10,0,AFC
Amer Shafi,Jordan,GK,#1,0,0,AFC
Fares Shelbaieh,Jordan,DEF,#2,1,0,AFC
Ihsan Haddad,Jordan,DEF,#3,1,0,AFC
Tareq Khattab,Jordan,DEF,#4,2,0,AFC
Mohammad Al-Dmeiri,Jordan,DEF,#5,2,0,AFC
Anas Al-Awadat,Jordan,MID,#6,4,0,AFC
Mohammad Abu Zrayq,Jordan,MID,#7,4,0,AFC
Nour Al-Rawabdeh,Jordan,MID,#8,6,0,AFC
Saleh Rateb,Jordan,MID,#9,6,0,AFC
Mahmoud Al-Mardi,Jordan,MID,#10,10,0,AFC
Ali Olwan,Jordan,ATK,#11,10,0,AFC
Pavel Matyash,Kyrgyzstan,GK,#1,0,0,AFC
Mustafa Iusupov,Kyrgyzstan,DEF,#2,1,0,AFC
Tamirlan Kozubaev,Kyrgyzstan,DEF,#3,1,0,AFC
Valery Kichin,Kyrgyzstan,DEF,#4,2,0,AFC
Azamat Baimatov,Kyrgyzstan,DEF,#5,2,0,AFC
Bekzhan Sagynbaev,Kyrgyzstan,MID,#6,4,0,AFC
Kairat Zhyrgalbek Uulu,Kyrgyzstan,MID,#7,4,0,AFC
Akhlidin Shukurov,Kyrgyzstan,MID,#8,6,0,AFC
Edgar Bernhardt,Kyrgyzstan,MID,#9,6,0,AFC
Vitalij Lux,Kyrgyzstan,ATK,#10,10,0,AFC
Mirlan Murzaev,Kyrgyzstan,ATK,#11,10,0,AFC
Sayed Jaffer,Bahrain,GK,#1,0,0,AFC
Waleed Al Hayam,Bahrain,DEF,#2,1,0,AFC
Abdulla Al-Haza'a,Bahrain,DEF,#3,1,0,AFC
Ahmed Abdulla,Bahrain,DEF,#4,2,0,AFC
Sayed Redha Isa,Bahrain,DEF,#5,2,0,AFC
Sayed Dhiya Saeed,Bahrain,MID,#6,4,0,AFC
Kamil Al Aswad,Bahrain,MID,#7,4,0,AFC
Abdulwahab Al-Malood,Bahrain,MID,#8,6,0,AFC
Ali Madan,Bahrain,MID,#9,6,0,AFC
Ismail Abdullatif,Bahrain,ATK,#10,10,0,AFC
Sami Al-Husaini,Bahrain,ATK,#11,10,0,AFC
Tawfiq Ali,Palestine,GK,#1,0,0,AFC
Musab Al-Battat,Palestine,DEF,#2,1,0,AFC
Mahommad Abu Malayah,Palestine,DEF,#3,1,0,AFC
Musa Farawi,Palestine,DEF,#4,2,0,AFC
Musa Saleem,Palestine,DEF,#5,2,0,AFC
Mohamed Darwish,Palestine,MID,#6,4,0,AFC
Mohammed Yameen,Palestine,MID,#7,4,0,AFC
Tamar Seyam,Palestine,MID,#8,6,0,AFC
Sameh Maraaba,Palestine,MID,#9,6,0,AFC
Khaled Salem,Palestine,ATK,#10,10,0,AFC
Shehab Qumbor,Palestine,ATK,#11,10,0,AFC
Gurpreet Singh Sandhu,India,GK,#1,0,0,AFC
Anas Edathodika,India,DEF,#2,1,0,AFC
Pritam Kotal,India,DEF,#3,1,0,AFC
Subhasish Bose,India,DEF,#4,2,0,AFC
Sandesh Jhingan,India,DEF,#5,2,0,AFC
Udanta Singh,India,MID,#6,4,0,AFC
Rowlin Borges,India,MID,#7,4,0,AFC
Anirudh Thapa,India,MID,#8,6,0,AFC
Lallianzuala Chhangte,India,MID,#9,6,0,AFC
Manvir Singh,India,ATK,#10,10,0,AFC
Sunil Chettri,India,ATK,#11,25,0,AFC
Chatchai Budprom,Thailand,GK,#1,0,0,AFC
Manuel Bihr,Thailand,DEF,#2,1,0,AFC
Tristan Do,Thailand,DEF,#3,1,0,AFC
Philip Roller,Thailand,DEF,#4,2,0,AFC
Suriya Singmui,Thailand,DEF,#5,2,0,AFC
Phitiwat Sukjitthammakul,Thailand,MID,#6,4,0,AFC
Ekanit Panya,Thailand,MID,#7,4,0,AFC
Sarach Yooyen,Thailand,MID,#8,6,0,AFC
Thitiphan Puangjan,Thailand,MID,#9,6,0,AFC
Adisak Kraisorn,Thailand,ATK,#10,10,0,AFC
Chenrop Samphaodi,Thailand,ATK,#11,10,0,AFC
Ri Kwang-il,North Korea,GK,#1,0,0,AFC
Kim Chol-bom,North Korea,DEF,#2,1,0,AFC
Pak Myong-song,North Korea,DEF,#3,1,0,AFC
Sim Hyon-jin,North Korea,DEF,#4,2,0,AFC
Jang Kuk-chol,North Korea,DEF,#5,2,0,AFC
Han Thae-hyok,North Korea,MID,#6,4,0,AFC
Ri Yong-jik,North Korea,MID,#7,4,0,AFC
Ri Un-chol,North Korea,MID,#8,6,0,AFC
Jong Il-gwan,North Korea,MID,#9,10,0,AFC
Pak Hyon-il,North Korea,ATK,#10,10,0,AFC
Pak Kwang-ryong,North Korea,ATK,#11,15,0,AFC
Rustam Yatimov,Tajikistan,GK,#1,0,0,AFC
Iskandar Dzhalilov,Tajikistan,DEF,#2,1,0,AFC
Tabrezi Davlatmir,Tajikistan,DEF,#3,1,0,AFC
Akhtam Nazarov,Tajikistan,DEF,#4,2,0,AFC
Davron Ergashev,Tajikistan,DEF,#5,2,0,AFC
Amirbek Juraboev,Tajikistan,MID,#6,4,0,AFC
Ehson Panjshanbe,Tajikistan,MID,#7,4,0,AFC
Alisher Dzhalilov,Tajikistan,MID,#8,6,0,AFC
Prarvizdzhon Umarbayev,Tajikistan,MID,#9,6,0,AFC
Manuchekhr Dzhalilov,Tajikistan,ATK,#10,10,0,AFC
Jahongir Ergashev,Tajikistan,ATK,#11,10,0,AFC
Neil Etheridge,Philippines,GK,#1,0,0,AFC
Alvaro Silva,Philippines,DEF,#2,1,0,AFC
Luke Woodland,Philippines,DEF,#3,1,0,AFC
Daisuke Sato,Philippines,DEF,#4,2,0,AFC
Carli de Murga,Philippines,DEF,#5,2,0,AFC
John-Patrick Strauss,Philippines,MID,#6,4,0,AFC
Mike Ott,Philippines,MID,#7,4,0,AFC
Stephan Schrock,Philippines,MID,#8,6,0,AFC
Iain Ramsay,Philippines,MID,#9,6,0,AFC
Angel Guirado,Philippines,ATK,#10,10,0,AFC
Patrick Reichelt,Philippines,ATK,#11,10,0,AFC
Mammet Orazmuhammedow,Turkmenistan,GK,#1,0,0,AFC
Sohrat Soyunow,Turkmenistan,DEF,#2,1,0,AFC
Serdar Annaorazow,Turkmenistan,DEF,#3,1,0,AFC
Mekan Saparow,Turkmenistan,DEF,#4,2,0,AFC
Abdy Basimow,Turkmenistan,DEF,#5,2,0,AFC
Serdar Geldiyew,Turkmenistan,MID,#6,4,0,AFC
Altymyrat Annadurdyyew,Turkmenistan,MID,#7,4,0,AFC
Arlsanmyrat Amanow,Turkmenistan,MID,#8,6,0,AFC
Ruslan Mingasow,Turkmenistan,MID,#9,6,0,AFC
Didar Durdyyew,Turkmenistan,ATK,#10,10,0,AFC
Wahyt Orazsahedow,Turkmenistan,ATK,#11,10,0,AFC
Kyaw Zin Htet,Myanmar,GK,#1,0,0,AFC
Kyaw Zin Lwin,Myanmar,DEF,#2,1,0,AFC
Nanda Kyaw,Myanmar,DEF,#3,1,0,AFC
Zaw Min Tun,Myanmar,DEF,#4,2,0,AFC
David Htan,Myanmar,DEF,#5,2,0,AFC
Yan Niang Oo,Myanmar,MID,#6,4,0,AFC
Myo Ko Tun,Myanmar,MID,#7,4,0,AFC
Maung Maung Lwin,Myanmar,MID,#8,6,0,AFC
Hlaing Bo Bo,Myanmar,MID,#9,6,0,AFC
Kyaw Ko Ko,Myanmar,ATK,#10,10,0,AFC
Aung Thu,Myanmar,ATK,#11,10,0,AFC
Pan Wen-chieh,Taipei,GK,#1,0,0,AFC
Hung Tzu-kuei,Taipei,DEF,#2,1,0,AFC
Wang Ruei,Taipei,DEF,#3,1,0,AFC
Lin Cheng-yi,Taipei,DEF,#4,2,0,AFC
Chen Ting-yang,Taipei,DEF,#5,2,0,AFC
Chen Ye-wei,Taipei,MID,#6,4,0,AFC
Wu Chun-ching,Taipei,MID,#7,6,0,AFC
Wen Chih-hao,Taipei,MID,#8,6,0,AFC
Chen Po-liang,Taipei,MID,#9,9,0,AFC
Chen Hao-wei,Taipei,ATK,#10,10,0,AFC
Chu En-le,Taipei,ATK,#11,10,0,AFC
Yapp Hung Fai,Hong Kong,GK,#1,0,0,AFC
Tsui Wang Kit,Hong Kong,DEF,#2,1,0,AFC
Helio,Hong Kong,DEF,#3,1,0,AFC
Roberto,Hong Kong,DEF,#4,2,0,AFC
Festus Baise,Hong Kong,DEF,#5,2,0,AFC
Wong Wai,Hong Kong,MID,#6,4,0,AFC
Tan Chun Lok,Hong Kong,MID,#7,4,0,AFC
Huang Yang,Hong Kong,MID,#8,6,0,AFC
Xu Deshuai,Hong Kong,MID,#9,6,0,AFC
Alex Akande,Hong Kong,ATK,#10,10,0,AFC
Sandro,Hong Kong,ATK,#11,10,0,AFC
Mohammed Ayash,Yemen,GK,#1,0,0,AFC
Mohammed Boqshan,Yemen,DEF,#2,1,0,AFC
Mudir Al-Radaei,Yemen,DEF,#3,1,0,AFC
Mohammed Ba Rowis,Yemen,DEF,#4,2,0,AFC
Mohammed Fuad Omar,Yemen,DEF,#5,2,0,AFC
Hussein Al-Ghazi,Yemen,MID,#6,4,0,AFC
Ahmed Al-Haifi,Yemen,MID,#7,4,0,AFC
Alaa Al-Sasi,Yemen,MID,#8,6,0,AFC
Abdulwasea Al-Matari,Yemen,MID,#9,6,0,AFC
Emad Mansoor,Yemen,ATK,#10,10,0,AFC
Ahmed Alos,Yemen,ATK,#11,10,0,AFC
Hameed Al-Qallaf,Kuwait,GK,#1,0,0,AFC
Amer Al-Fadhel,Kuwait,DEF,#2,1,0,AFC
Dhari Said,Kuwait,DEF,#3,1,0,AFC
Fahad Humood Al-Rashadi,Kuwait,DEF,#4,2,0,AFC
Fahed Al Hajri,Kuwait,DEF,#5,2,0,AFC
Fahad Al Ansari,Kuwait,MID,#6,4,0,AFC
Sultan Al Enezi,Kuwait,MID,#7,4,0,AFC
Adbullah Al Buraiki,Kuwait,MID,#8,6,0,AFC
Faisal Zaid,Kuwait,MID,#9,6,0,AFC
Bader Al Mutawa,Kuwait,ATK,#10,10,0,AFC
Yousef Nasser,Kuwait,ATK,#11,10,0,AFC
Ovays Azizi,Afghanistan,GK,#1,0,0,AFC
Shafif Mukhammad,Afghanistan,DEF,#2,1,0,AFC
Farzid Ataie,Afghanistan,DEF,#3,1,0,AFC
Hassan Amin,Afghanistan,DEF,#4,2,0,AFC
Zohib Islam Amiri,Afghanistan,DEF,#5,2,0,AFC
Milad Intezar,Afghanistan,MID,#6,4,0,AFC
Adam Najem,Afghanistan,MID,#7,4,0,AFC
Farshad Noor,Afghanistan,MID,#8,6,0,AFC
Faysal Shayesteh,Afghanistan,MID,#9,6,0,AFC
Norlla Amiri,Afghanistan,ATK,#10,10,0,AFC
Khaibar Amani,Afghanistan,ATK,#11,10,0,AFC
Farizal Marlias,Malaysia,GK,#1,0,0,AFC
Matthew Davies,Malaysia,DEF,#2,1,0,AFC
Syahmi Safari,Malaysia,DEF,#3,1,0,AFC
Aidil Zafuan Radzak,Malaysia,DEF,#4,2,0,AFC
Sharul Saad,Malaysia,DEF,#5,2,0,AFC
Danial Amier Norhisham,Malaysia,MID,#6,4,0,AFC
Brendan Gan Seng Ling,Malaysia,MID,#7,4,0,AFC
Baddrol Bakhtiar,Malaysia,MID,#8,6,0,AFC
Syamer Kutty Abba,Malaysia,MID,#9,6,0,AFC
Norshahrul Idlan Tahala,Malaysia,ATK,#10,10,0,AFC
Safawi Rasid,Malaysia,ATK,#11,10,0,AFC
Mohamed Faisal,Maldives,GK,#1,0,0,AFC
Samdhooh Mohamed ,Maldives,DEF,#2,1,0,AFC
Hussain Sifaau,Maldives,DEF,#3,1,0,AFC
Haisham Hassan,Maldives,DEF,#4,2,0,AFC
Mujuthaaz Mohamed,Maldives,DEF,#5,2,0,AFC
Akram Abdul Ghanee,Maldives,MID,#6,4,0,AFC
Mohamed Arif,Maldives,MID,#7,4,0,AFC
Hamza Mohamed,Maldives,MID,#8,6,0,AFC
Ahmed Imaz,Maldives,MID,#9,6,0,AFC
Ali Ashfaq,Maldives,ATK,#10,10,0,AFC
Asadhulla Abdulla,Maldives,ATK,#11,10,0,AFC
Hassan Sunny,Singapore,GK,#1,0,0,AFC
Nazrul Nazari,Singapore,DEF,#2,1,0,AFC
Zulqarnaen Suzliman,Singapore,DEF,#3,1,0,AFC
FadilKamis,Singapore,DEF,#4,2,0,AFC
Anders Aplin,Singapore,DEF,#5,2,0,AFC
Anumanthan Kumar,Singapore,MID,#6,4,0,AFC
Firadus Kasman,Singapore,MID,#7,4,0,AFC
Gabriel Quak,Singapore,MID,#8,6,0,AFC
Shahdan Sulaiman ,Singapore,MID,#9,6,0,AFC
Sahil Suhaimi,Singapore,ATK,#10,10,0,AFC
Shawal Anuar,Singapore,ATK,#11,10,0,AFC
Kiran Chemjong,Nepal,GK,#1,0,0,AFC
Suman Aryal,Nepal,DEF,#2,1,0,AFC
Rajin Dhimal,Nepal,DEF,#3,1,0,AFC
Ajit Bhandari,Nepal,DEF,#4,2,0,AFC
Anata Tamang,Nepal,DEF,#5,2,0,AFC
Rohit Chand,Nepal,MID,#6,4,0,AFC
Sunil Bal,Nepal,MID,#7,4,0,AFC
Sujal Shrestha,Nepal,MID,#8,6,0,AFC
Anjan Bista,Nepal,MID,#9,6,0,AFC
Bharat Khawas,Nepal,ATK,#10,10,0,AFC
Nawayug Shreshta,Nepal,ATK,#11,10,0,AFC
Sou Yaty,Cambodia,GK,#1,0,0,AFC
Cheng Meng,Cambodia,DEF,#2,1,0,AFC
Sath Rosib,Cambodia,DEF,#3,1,0,AFC
Sareth Krya,Cambodia,DEF,#4,2,0,AFC
Soeuy Visal,Cambodia,DEF,#5,2,0,AFC
Sos Suhana,Cambodia,MID,#6,4,0,AFC
Thierry Chantha Bin,Cambodia,MID,#7,4,0,AFC
Kouch Sokumpheak,Cambodia,MID,#8,6,0,AFC
Yeu Muslim,Cambodia,MID,#9,6,0,AFC
Prak Mony Udom,Cambodia,ATK,#10,10,0,AFC
Keo Sokpheng,Cambodia,ATK,#11,10,0,AFC
Nadeo Argawinata,Indonesia,GK,#1,0,0,AFC
Bagas Adi,Indonesia,DEF,#2,1,0,AFC
Johan Alfarizi,Indonesia,DEF,#3,1,0,AFC
Asnawi Mangkualam,Indonesia,DEF,#4,2,0,AFC
Fachrudin Aryanto,Indonesia,DEF,#5,2,0,AFC
Febri Hariyadi,Indonesia,MID,#6,4,0,AFC
Hendro Siswanto,Indonesia,MID,#7,4,0,AFC
Zulfiandi,Indonesia,MID,#8,6,0,AFC
Evan Dimas,Indonesia,MID,#9,6,0,AFC
Irfan Bachdim,Indonesia,ATK,#10,10,0,AFC
Ilija Spasojevic,Indonesia,ATK,#11,10,0,AFC
Ho Man Fai,Macau,GK,#1,0,0,AFC
Filipe Duarte,Macau,DEF,#2,1,0,AFC
Lei Ka Him,Macau,DEF,#3,1,0,AFC
Chan Man,Macau,DEF,#4,2,0,AFC
Pang Chi Hang,Macau,MID,#5,4,0,AFC
Kong Cheng Hou,Macau,MID,#6,4,0,AFC
Ho Chi Fung,Macau,MID,#7,4,0,AFC
Lam Ka Seng,Macau,MID,#8,6,0,AFC
Leong Ka Hang,Macau,ATK,#9,10,0,AFC
Ho Man Hou,Macau,ATK,#10,10,0,AFC
Niki Torrao,Macau,ATK,#11,10,0,AFC
Ashraful Islam Rana,Bangladesh,GK,#1,0,0,AFC
Biswanath Ghosh,Bangladesh,DEF,#2,1,0,AFC
Raphat Mia,Bangladesh,DEF,#3,1,0,AFC
Yeasin Khan,Bangladesh,DEF,#4,2,0,AFC
Topu Barman,Bangladesh,DEF,#5,2,0,AFC
Jamal Bhuyan,Bangladesh,MID,#6,4,0,AFC
Biplu Ahmed,Bangladesh,MID,#7,4,0,AFC
Robiul Hasan,Bangladesh,MID,#8,6,0,AFC
Manumul Islam,Bangladesh,MID,#9,6,0,AFC
Nabib Newaj Jibon,Bangladesh,ATK,#10,10,0,AFC
Motin Mia,Bangladesh,ATK,#11,10,0,AFC
Outthilath Nammakoth,Laos,GK,#1,0,0,AFC
Thinnakone Vongsa,Laos,DEF,#2,1,0,AFC
Kaharn Phetsivilay,Laos,DEF,#3,1,0,AFC
Vanna Bounlovongsa,Laos,DEF,#4,1,0,AFC
Lathasay Lounlasy,Laos,DEF,#5,1,0,AFC
Phoutdvy Phommasane,Laos,MID,#6,2,0,AFC
Phoutthasay Khochalern,Laos,MID,#7,2,0,AFC
Phouthone Innalay,Laos,MID,#8,2,0,AFC
Soukaphone Vongchiengkham,Laos,MID,#9,10,0,AFC
Somxay Keohanam,Laos,ATK,#10,6,0,AFC
Vannasone Douangmaity,Laos,ATK,#11,6,0,AFC
Tshering Dendup,Bhutan,GK,#1,0,0,AFC
Tenzin Dorji,Bhutan,DEF,#2,1,0,AFC
Phuntsho Jigme,Bhutan,DEF,#3,1,0,AFC
Mipham Jigme,Bhutan,DEF,#4,1,0,AFC
Choki Wangchuk,Bhutan,DEF,#5,3,0,AFC
Nima Wangdi,Bhutan,MID,#6,2,0,AFC
Chimi Dorji,Bhutan,MID,#7,2,0,AFC
Karma Shedrup Thsering,Bhutan,MID,#8,5,0,AFC
Tsering Dorji,Bhutan,MID,#9,9,0,AFC
Kabile Nadoem,Bhutan,ATK,#10,6,0,AFC
Chencho Gyeltshen,Bhutan,ATK,#11,10,0,AFC
Arinubold Batsaikhan,Mongolia,GK,#1,0,0,AFC
Torbat Daginaa,Mongolia,DEF,#2,1,0,AFC
Bilguun Ganbold,Mongolia,DEF,#3,1,0,AFC
Tsedenbal Norjmoo,Mongolia,DEF,#4,4,0,AFC
Bayasgalan Garidmagnai,Mongolia,DEF,#5,2,0,AFC
Jansyerik Maratkhan,Mongolia,MID,#6,4,0,AFC
Sundorj Janchiv,Mongolia,MID,#7,4,0,AFC
Monkh-Erdeniin Togoldor,Mongolia,MID,#8,6,0,AFC
Baljinnyam Batbold,Mongolia,MID,#9,6,0,AFC
Ganbaataryn Togsbayar,Mongolia,ATK,#10,10,0,AFC
Nyam-Osor Naranbold,Mongolia,ATK,#11,10,0,AFC
Wardun Yussof,Brunei,GK,#1,0,0,AFC
Afi Aminuddin,Brunei,DEF,#2,1,0,AFC
Sairol Sahari,Brunei,DEF,#3,1,0,AFC
Helmi Zambin,Brunei,DEF,#4,2,0,AFC
Abdul Mu'iz Sisa,Brunei,DEF,#5,2,0,AFC
Hendra Azam Idris,Brunei,MID,#6,4,0,AFC
Nurikhwan Othman,Brunei,MID,#7,4,0,AFC
