Country,Confederation,World_Rank,Attack,Defence,World_Cup_Apps,RO16_Apps,QF_Apps,SF_Apps,Finals_Apps,World_Cup_Wins,Total_P,Total_GF,Total_GA,GF_PG,GA_PG,Total_Clean_Sheets,Clean_Sheet_%
Tajikistan,AFC,,0.48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,AFC,,0.52,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,AFC,,0.48,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,AFC,,0.48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Taipei,AFC,,0.45,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,AFC,,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,AFC,,0.6,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,AFC,,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFC,,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,AFC,,0.55,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,AFC,,0.4,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,AFC,,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,AFC,,0.4,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,AFC,,0.39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,AFC,,0.45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,AFC,,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,AFC,,0.3,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,AFC,,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,AFC,,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,AFC,,0.3,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,AFC,,0.27,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste,AFC,,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,AFC,,0.21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,AFC,,0.22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,AFC,,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,CAF,,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,CAF,,1.15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,CAF,,1.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,CAF,,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,CAF,,1.15,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,CAF,,1.2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CAF,,1.15,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,CAF,,1.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,CAF,,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,CAF,,1.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo DR,CAF,,0.95,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast,CAF,,1.2,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,CAF,,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,CAF,,0.85,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,CAF,,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CAF,,0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,CAF,,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,CAF,,0.85,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,CAF,,0.75,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,CAF,,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,CAF,,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,CAF,,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,CAF,,0.75,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,CAF,,0.7,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,CAF,,0.7,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,CAF,,0.75,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,CAF,,0.7,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,,0.7,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,CAF,,0.77,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,CAF,,0.69,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,CAF,,0.65,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,CAF,,0.63,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,CAF,,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,CAF,,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,CAF,,0.72,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,CAF,,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,CAF,,0.62,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,CAF,,0.57,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,CAF,,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,CAF,,0.57,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,CAF,,0.53,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,CAF,,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,CAF,,0.52,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,CAF,,0.64,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,CAF,,0.47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,CAF,,0.55,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,CAF,,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,CAF,,0.45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,CAF,,0.42,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,CAF,,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,CAF,,0.33,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,CAF,,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,CAF,,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,CAF,,0.27,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,CONCACAF,,1.35,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,CONCACAF,,1.15,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,CONCACAF,,0.85,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CONCACAF,,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,CONCACAF,,0.7,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,CONCACAF,,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CONCACAF,,0.75,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,CONCACAF,,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,CONCACAF,,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,CONCACAF,,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,CONCACAF,,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,CONCACAF,,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,CONCACAF,,0.43,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts and Nevis,CONCACAF,,0.35,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,CONCACAF,,0.45,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,CONCACAF,,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,CONCACAF,,0.4,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,CONCACAF,,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,CONCACAF,,0.35,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,CONCACAF,,0.3,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,CONCACAF,,0.25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,CONCACAF,,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,CONCACAF,,0.35,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Lucia,CONCACAF,,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,CONCACAF,,0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,CONCACAF,,0.5,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,CONCACAF,,0.2,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,CONCACAF,,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,CONCACAF,,0.12,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,CONCACAF,,0.25,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,CONCACAF,,0.14,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,CONCACAF,,0.15,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
US Virgin Islands,CONCACAF,,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,CONCACAF,,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,CONCACAF,,0.15,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,CONMEBOL,,1.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,CONMEBOL,,1.8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,CONMEBOL,,1.55,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,CONMEBOL,,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CONMEBOL,,1.2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,CONMEBOL,,1.2,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,CONMEBOL,,1.15,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,CONMEBOL,,1.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,CONMEBOL,,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,CONMEBOL,,0.8,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,OFC,,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,OFC,,0.4,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,OFC,,0.24,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahiti,OFC,,0.23,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,OFC,,0.22,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,OFC,,0.21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,OFC,,0.2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,OFC,,0.14,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,OFC,,0.13,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,OFC,,0.12,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,OFC,,0.11,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,UEFA,,1.75,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0
France,UEFA,,1.9,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0
England,UEFA,,1.55,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,UEFA,,1.6,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,UEFA,,1.85,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,UEFA,,1.45,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,UEFA,,1.65,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,UEFA,,1.3,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,UEFA,,1.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,UEFA,,1.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,UEFA,,1.2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Wales,UEFA,,0.95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,UEFA,,1.4,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,UEFA,,1.15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,UEFA,,1.25,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,UEFA,,1.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,UEFA,,1.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,UEFA,,1.2,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,UEFA,,1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,UEFA,,1,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,UEFA,,1,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,UEFA,,0.9,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,UEFA,,1.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Ireland,UEFA,,0.85,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,UEFA,,1.25,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,UEFA,,0.85,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,UEFA,,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,UEFA,,0.85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,UEFA,,0.95,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,UEFA,,0.75,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,UEFA,,0.95,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,UEFA,,0.8,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,UEFA,,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,UEFA,,0.75,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,UEFA,,0.73,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,UEFA,,0.75,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,UEFA,,0.77,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,UEFA,,0.75,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,UEFA,,0.65,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,UEFA,,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,UEFA,,0.62,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,UEFA,,0.55,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,UEFA,,0.45,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,UEFA,,0.48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,UEFA,,0.43,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,UEFA,,0.77,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,UEFA,,0.6,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,UEFA,,0.45,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,UEFA,,0.47,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,UEFA,,0.35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,UEFA,,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,UEFA,,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,UEFA,,0.26,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,UEFA,,0.3,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,UEFA,,0.22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
